Brain_1.CEL	Brain_2.CEL	Fetal_brain_1.CEL	Fetal_brain_2.CEL	Fetal_liver_1.CEL	Fetal_liver_2.CEL	Liver_1.CEL	Liver_2.CEL
36330_at	252.65	371.4	230	141.65	145.35	264	33.9	96.25
36331_at	-14	5.65	18.65	20.25	5.75	16.75	10.25	-33
36332_at	173.85	225.6	148.5	202.35	188.9	293.25	192.5	302.65
36333_at	1467.25	1380.65	3830.75	6011.15	1915	4267.6	414.65	785.5
36334_at	16.9	28.25	92.6	46.75	44	64.5	27	54.85
36335_at	-20.75	-32.65	-96.75	-75.85	-73.85	-67	-32	-64.4
36336_s_at	-21	-4.85	15.5	-19.6	-5.85	24.6	-27	-55.4
36337_at	186	125	153	132.45	239.6	360	53.1	288
36338_at	137.15	263.5	75.15	83.15	124.7	264.85	40.15	86.5
36339_at	20.65	9	10.5	7	0.35	30.85	12.15	34.5
36340_at	39.75	77.75	102.7	47.15	73.05	108.4	40.1	70.95
36341_s_at	7.25	2.75	2.7	10.4	66	291.5	227.65	568.5
36342_r_at	1	3.5	-13.9	2.5	27.85	52.25	8.4	57
36343_at	14.15	11.9	15.1	-2.4	12.15	9.15	4.5	6.9
36344_at	-0.9	-3.5	-17.1	-15.6	-31.25	-29	-11.55	-0.4
36345_g_at	16.85	15.65	82.25	40.6	53.85	138.6	-18.5	62.1
36346_at	16.1	114.65	38.5	-10.55	23.6	-58.5	-89.5	26
36347_f_at	34.1	68.15	72.25	101.65	195.25	420.4	69.1	136.65
36348_r_at	-4.45	-3.85	-22.4	-2	-16.6	-19.65	-2.1	-5.8
36349_at	-11.6	-24.75	-19	-1.25	-20	-59.75	-7.75	-12
36350_at	8.65	10.9	11.5	23.3	-9.4	2.85	33.75	22.5
36351_at	-25.75	-12.4	7.5	-12.65	-12.85	-26.15	-21.5	1.75
36352_at	25.75	-9.85	9.25	0.1	34.4	56.6	16.15	89
36353_at	-37.9	-50.75	-16.55	-28	-7.75	-14.45	-29.15	-81.35
36354_at	18.85	38.4	36.9	37.35	35.25	82.4	57.15	75.25
36355_at	44.9	39.6	14.25	40.35	34.1	143.15	29.6	104.35
36356_at	-236	-254.8	-232	-297.75	-190.6	-289.85	-119.75	-438.9
36357_at	16.75	3.1	-6	1.85	17.6	-13.75	1.9	13.75
36358_at	3834.75	5302.5	5228	8499.85	4006.85	7282.85	2972.9	3519.7
36359_at	43.6	37.5	51.35	54.25	49.9	115.25	43	82.5
36360_at	40.75	16.75	33.4	32.4	2.85	18.5	11.75	18.15
36361_at	27.25	66.75	107.1	82.35	128.65	134.9	24.2	173.9
36362_at	3.35	1.9	13.5	35.75	26.35	7.75	11.4	-1
36363_at	365.5	323.4	20.75	17.1	-13.9	0.1	-5.5	19.15
36364_at	3.75	57.35	25.15	90.4	66.75	171	100.4	110.5
36365_at	-7.5	-7.25	10.25	-10.1	-18.35	0.5	-1.15	-4.5
36366_at	4.25	5.25	-4.9	0.95	-9.25	1.25	-6.4	-11
36367_at	18	74.7	241.5	310	-13.1	-24.75	-2.1	-30.65
36368_at	14.15	39.4	43.65	43	-5.85	-19.25	-5.85	48.75
36369_at	-11.9	36.85	3	5.5	4.6	0.15	-1.8	-12.1
36370_at	4.65	8.25	-1.65	3.35	0.85	-8.5	-1.85	26.4
36371_at	20.75	33.1	124.75	145.15	39	99.1	26.1	93.1
36372_at	-39	-12.3	-50.75	-47.9	8.1	28	2.9	-49.1
36373_at	-22.35	-0.65	16.75	22	8.8	-14.5	-10.9	-46.25
36374_at	-18.6	-42.35	-16.15	-15.95	2.75	-33.35	-7.25	-38.75
36375_at	29	16.1	92.4	61.1	79.35	61.35	25.75	64.35
36376_at	5.4	4	21.35	56.1	-2	12.6	-13.6	-6.35
36377_at	-5.7	-5.25	-27.15	-12.15	-15.15	8	-3.1	-20.75
36378_at	50.85	72.25	72.15	15	18.35	-5.5	-1.4	33.75
36379_at	-26	-23	12.35	-24.4	-57.85	13.75	6.15	-99.15
36380_at	6.15	6.6	2.85	8.5	23.5	8.9	16.5	16
36381_at	-13.65	-7	-16.5	-18	-11.75	-17.85	-17.5	-6.75
36382_at	24.9	8.8	24.75	7.9	15	3.5	4	8.4
36383_at	3.5	12	-19.75	-32	-22.9	-2.5	-2.75	-8.5
36384_at	-49.5	-70.85	-38.4	-57	234.4	576.8	32.25	15.4
36385_at	-3.5	16.1	50.4	46.85	3.1	9.75	-19.85	-24
36386_at	25	13.4	40.6	11.75	33.9	49.65	16.35	32.45
36387_at	-16.75	-8.45	-18.05	34.95	-9.15	22.5	-4.65	-48
36388_at	7.9	2	1.5	-0.75	-1.1	19.4	4.65	1.9
36389_at	-4.75	-5.25	5.4	-7.75	0.4	-25.65	7.25	-6.65
36390_at	-1.35	-1.85	-18.25	-11.85	-8.5	-49.25	-16.5	-46.5
36391_at	61.5	104.35	68.5	59.3	45.35	9.65	9.85	-52.05
36392_at	16.75	19	86.35	96.5	-6.75	-35.65	-28.55	-32.4
36393_at	94.65	180	115.75	323.25	28	22.35	-3.15	-60.95
36394_at	681.5	1326.5	269.85	423.4	57.8	-8.35	-11.75	0.25
36395_at	19.5	31.35	62.5	72.6	1.75	44.6	12	-2.1
36396_at	25.65	23.4	63	56.85	30	16.4	-5.65	20
36397_at	15.25	1	16.9	7	-0.25	-11	-4.5	3.3
36398_at	32.25	57.25	94.5	129.9	62.1	156.6	62.9	42.25
36399_at	31.75	17.1	29.4	29.1	25.9	17.75	24.5	15.95
364_s_at	0.35	38.25	12.75	11.75	-44.25	38.5	5.1	39.5
36400_at	-8.4	-8.25	-14.35	-12.85	-18.35	-10.9	-14.5	-8.6
36401_at	-2.4	53.75	46.65	27.15	46.75	24.65	-26.65	-3.75
36402_at	-16.35	2.1	-7.65	10.1	17.25	12.35	7.35	5.35
36403_s_at	21.5	61.15	41.75	32	52.75	84.15	28.5	90.15
36404_at	16	-21.35	31.65	54	41.85	101.5	6.5	38.05
36405_s_at	-49.85	-27	-29.75	-91.4	-51.5	-115.9	-30.45	-40.85
36406_at	11.75	8.65	18	11.4	-4.5	13.5	7	61.25
36407_at	-18.15	-0.6	69	-12	18	-54.75	146	446.35
36408_at	-9.6	-11.4	0	-13.4	-1.25	-0.55	-35.45	-45
36409_f_at	-5.6	-25.25	-7.75	4.15	-7.65	-15	-5.1	-12.9
36410_f_at	65.8	31	264.7	362.5	18.2	16	8	20
36411_s_at	104.35	79	278.6	375	25.15	45.5	9	19.75
36412_s_at	26.75	15.4	9	-14.85	9.15	45	-1	24
36413_at	-11.85	9.8	-0.25	-21.25	-0.15	-7.85	6	13.6
36414_s_at	36.5	51.05	184.15	176.2	48.6	61.9	33.25	37.25
36415_at	-21.5	-16.9	-45.75	-25.4	-9.5	-23.5	-18	-23.4
36416_g_at	16.5	8.75	30.35	45.9	5.35	2	1.1	57.05
36417_s_at	282.25	284.4	85	112.25	735.25	1402.35	982.15	1572.15
36418_at	-22.45	-1.65	15.65	-38.75	-19.75	-22.15	-11.65	-35.6
36419_at	2.05	-7.85	-33.85	-17.9	-33.25	-55.25	-14.25	-29.35
36420_at	-3.35	12.15	3.35	5.25	-4.5	-6.15	0.5	10.65
36421_at	2.25	-0.4	88	41.5	12.85	7.65	25.35	57
36422_s_at	192.15	439	69.75	111.4	135.25	400.85	12.25	109.5
36423_at	98.5	89.35	105.85	74.9	508.15	1066.75	280.4	655
36424_at	4.6	3	7.8	0.9	-18.85	-12.65	-13.25	-32.7
36425_at	-18.25	-5.9	-11	-14.5	-20.35	-38.25	-35	-60.3
36426_g_at	-27.5	-37.15	-57	-35.6	-75.95	-112.35	-49.75	-115.35
36427_at	87	91.1	75.5	67.9	37.4	110	18.75	11.75
36428_at	20.6	23.9	7.6	24.25	12	93.35	32.35	44.15
36429_at	-8	-0.4	-2.65	-6.35	2.15	33.65	11.1	36
36430_at	-16.6	-11.75	17.15	-14.85	-0.25	24.5	-21.2	-34.9
36431_at	24.5	28	90.35	113.15	8	77.5	23.15	42.65
36432_at	15.4	36.9	29.4	37.85	26.5	129.4	36	30
36433_at	0.5	9.15	-8.75	10.45	4.65	-4	1.35	12.5
36434_r_at	8.65	10.6	17.85	4	29	10.15	6.5	14.5
36435_at	17	16	45.6	50.15	2.75	30.25	18.4	-1.9
36436_at	13.65	22.9	13.1	12.6	194	424.25	536.75	745.95
36437_s_at	39.5	68.85	63.15	70.75	16.75	30.4	19.15	21.75
36438_at	13.5	17.25	-7	5.4	8.1	7.65	-4.85	-0.35
36439_at	42.4	63.65	63.25	42.5	47.95	58	34.25	199.4
36440_at	-96.9	-140.1	-39.65	-175	-81.5	-249.5	-135.65	-225.4
36441_at	5.65	7.15	27	20.15	10.5	9.8	-5.1	-5.15
36442_g_at	2.75	7.6	10.75	-14.75	44.65	86	17	22.6
36443_at	-16	-29.9	-35.9	-35	-98.25	-140.6	-67.65	-120.15
36444_s_at	27.5	63.25	74.25	134.2	74.9	262.8	81.6	132.35
36445_at	-47.4	-4.5	-45.75	-10.9	-56.5	-66.9	-11.65	-41.85
36446_s_at	579.65	1031.1	479.25	647.75	1413.9	2963.35	880.6	1442.15
36447_at	-12.6	-5	-8.55	5.35	-12.5	17.5	-8.5	-39.25
36448_at	88.65	264.5	575.35	712	15.55	29.75	-7	-15.85
36449_s_at	-35.9	-31.25	-42.4	-94.6	-6.5	-4.6	-6.85	-55.1
36450_at	19.75	19.65	-11.75	-7.15	-2	-2.4	-1.5	-37.9
36451_at	901.25	1936.6	942.65	963.85	310.5	834	403.25	475.4
36452_at	285.9	651.35	439.25	423.05	562.1	974.75	1035.75	1225.35
36453_at	489.25	748.45	514.1	652.9	48	76.15	46.1	114.9
36454_at	-7.95	8	46	23.1	35.9	39.85	-4.15	7.9
36455_at	215.4	298.75	193.65	222	100.6	149.9	48	105
36456_at	48.25	51	120.5	171.4	37.15	127	11.9	57.25
36457_at	4.3	56.5	32.65	137	95.85	280.85	16.5	4
36458_at	36	63	120.5	98.6	22.5	37.85	6	6
36459_at	166.85	112	31.75	69	3	7.5	6.35	10.6
36460_at	28	36.15	30.35	51.85	-13.35	63.35	12.9	-8.85
36461_at	5.75	30.1	25.9	36.4	48.65	71.75	15.35	95.9
36462_at	13.5	82.4	73	22.8	1.25	18.1	-37.6	4.5
36463_at	99.6	165.6	91.6	140	55.85	120.65	49.7	54.5
36464_at	22.25	36.9	29.35	21.25	38.2	35.5	23.9	72.05
36465_at	51.75	59.1	14.5	22.9	42.25	41	36.6	9.75
36466_at	23	34.6	63.1	56.4	2.4	5.6	11.9	-3.6
36467_g_at	8.85	36	33.5	39.1	-77.35	-52.5	-48.6	-120.5
36468_at	68.5	169	82.25	102	37.2	23.25	9.25	-6.1
36469_at	62.4	75	124.9	106.5	33.5	17.35	-15.5	-19.6
36470_s_at	11.4	46.9	36.55	34.5	-16	-26.1	-6	-2.1
36471_f_at	93.85	119.6	119.4	154.7	18.75	37.1	5	29.85
36472_at	8	11.45	6.65	31.65	20.5	128.75	15.1	46.25
36473_at	199.6	399.85	183.25	237.5	176.1	394.25	63.7	233.25
36474_at	34	51	95.65	136.75	16.9	66.75	2.5	6.1
36475_at	134.75	308	93	60.75	249.75	559.35	179.6	361.85
36476_at	0.35	25.25	5.25	35.5	8	24	-12.6	-38.65
36477_at	-1.75	9.85	-13.15	-1.1	13.9	-12.25	8.1	-11.25
36478_at	13.35	9	11	-8.9	-13.15	-8.4	-17.5	-38
36479_at	39.25	89.5	134	111.5	97.5	169.25	-10	177.35
36480_at	14.1	26.35	50.6	65.25	97.75	274.5	34.5	151.35
36481_at	-0.4	-7.75	7.85	16	-10.1	-18.25	-11	12.75
36482_s_at	-1	18.9	33.65	90.5	39.6	99.25	12.85	111.5
36483_at	-8	-17	6	9.9	-30.5	-11.25	-15.5	-21
36484_at	7.95	5.1	24.75	21.65	-12.75	-16.75	3.1	-14.25
36485_at	18.65	167.75	70.65	239.3	146.35	461.15	83.15	174.25
36486_at	20.75	13.45	53.25	52.75	21	27	12.55	7.6
36487_at	-7.6	-4	-1	-1.9	-5	-11.6	4	-6.25
36488_at	215.35	282.25	303.75	373.25	90.65	299.75	37	22.5
36489_at	367.4	436.35	149.65	237.2	171.25	450	141.25	211.25
36490_s_at	55.35	58	42	28.35	4.5	48.75	19.25	15.5
36491_at	10.9	10.7	1100.25	1276.5	15.65	24.75	1.75	12.85
36492_at	79.05	150.15	160.6	134	239.25	581.8	105.25	129.5
36493_at	5.35	3	55.1	13.85	88.4	202.25	43.5	146.15
36494_at	20.45	41	67.85	52.9	30.5	82.65	-2.3	11.25
36495_at	37.55	61.85	33	24.85	2332.65	4863.4	5509.9	8071.65
36496_at	51.25	81.5	21.9	25	132.65	331.35	74.85	213.1
36497_at	-3.1	140	-6.75	65.35	-66.5	-113.1	-33.35	-111.75
36498_at	41.15	164.3	24.1	62.25	-81.75	-133.75	-29.6	-80.9
36499_at	380	883.85	489.4	705.85	18.85	41.35	1	31.25
365_at	5.6	7.1	4.25	-16.25	17.95	4.8	7.15	10.1
36500_at	87.15	240.15	81.1	105.9	233.4	490.6	104.5	147.6
36501_at	64.35	95.65	32.5	71.1	76.65	121.4	52	23.75
36502_at	349	428.7	515.75	629.85	62.6	165.85	19.35	45.1
36503_at	-96.25	-24.2	-37.7	-85	15.25	0.85	6.5	46.75
36504_at	59.65	22	33.9	41.4	33.05	86	1.75	122.75
36505_at	-14.6	5.1	-12	-30.1	8.25	6.7	1.75	-13
36506_at	35.75	34.9	157.9	206.5	34.25	38.15	5.4	19.15
36507_at	20.15	59.9	74.75	19.6	89.75	32.65	25.35	4.8
36508_at	-7.85	7.5	13.9	28.25	-9	8.5	-8.6	-8.65
36509_at	47	34.65	113.25	124.4	6.9	28.65	1.15	12.9
36510_at	1.85	6.75	15.35	74	16.45	21.6	-4.35	4.9
36511_at	177	259	272.6	324.8	66.5	204.6	-5.25	4.75
36512_at	-10	-7.5	-12.25	-21.5	894.15	1871.4	529.6	1343.75
36513_at	6.9	-6.35	-4.6	-9.75	-4	2	0.75	-0.5
36514_at	93.55	82.85	40.45	54.65	16.15	54.6	8.35	-1.5
36515_at	222.35	245.75	298.75	449.8	187.85	463.6	220	551.6
36516_at	-50.4	-16.85	-76	0.5	25.75	-38.5	-3.25	-105.5
36517_at	478.25	741	663.8	867.65	740.65	2155.65	306.1	655.15
36518_at	-8.9	-2.5	2	11.8	-33.5	34.65	-4.75	17.1
36519_at	96.5	316	90.35	108.65	114.75	257.75	111.8	202.4
36520_at	-19.9	16.35	-67.25	-79.5	-105.85	-174.4	-76.35	-279
36521_at	53.6	102.5	150	237.1	-12.9	10.4	-14.6	-23.95
36522_at	-34	209.5	-91.65	-284.5	-424.5	-1314	-318.25	-543
36523_at	37	38.15	29.75	62.25	36.15	74.9	1.35	12.5
36524_at	548.65	1242.95	138.65	98.5	-27.55	-169.15	-22.85	-165.5
36525_at	115.35	179.35	291.1	410.1	-9.5	-3.75	-5.85	-12.65
36526_at	125.65	96.25	115.75	175	42	50.1	4	37.25
36527_at	24.5	7.9	10.15	26.65	21.25	35.8	3.35	-3.35
36528_at	-22.5	-13.4	-41.75	-39	113.9	368.5	442.25	670.85
36529_at	56.7	5.75	-47.25	-87.5	70.1	105.1	93.25	56.25
36530_g_at	285.35	430	115.4	125.65	270.6	619.15	263.35	660.5
36531_r_at	57.5	77.15	43.35	9.85	77.5	86.25	84.25	156.85
36532_at	65	97	13.4	36.35	16.1	22.35	6.5	12.5
36533_at	19.95	37.75	55.65	74.5	66.25	219.15	32.85	51.75
36534_at	56.95	68	101.4	144.6	27.65	97.4	8.8	55.05
36535_at	112.85	133.15	241.75	248	97.65	205.5	24	80.15
36536_at	785	880.1	503.15	739.85	14	73.75	9.65	18.4
36537_at	276.15	565.45	175.1	256.1	154.65	417.15	116.65	196.8
36538_at	241.1	478.25	152.5	216.75	19.8	137.25	55.25	118.35
36539_at	-13.75	-57.5	-31.9	-12.5	-22.85	-92.2	-54.45	-136.4
36540_at	31.85	100.3	62.55	20.9	23	-16.75	-19	-30.25
36541_at	-71	-70.5	-55.5	-32	-53.9	-56.75	-53.75	-97.3
36542_at	373.65	567.6	594.15	773.65	35	78.1	2	-19.15
36543_at	93.4	173.7	129.65	193.65	19.35	37	0	-7.75
36544_at	341.45	388.15	426.75	556.5	12.35	32.35	11.15	22.5
36545_s_at	51.75	82.75	84.75	92.4	60.6	218.4	19.85	87.85
36546_r_at	2637.3	2277.6	2165.35	3606.9	2678.5	4182.75	3998.25	4467.85
36547_r_at	-121.05	-355.6	-419	-408.4	-610.85	-1556	-344.9	-1076.35
36548_at	20.9	29.25	114	138.1	-3.45	4.35	-7.75	-19.4
36549_at	19.25	0.1	28.1	26.85	14.15	27	9	9.75
36550_at	44.2	196	103.4	153.75	29.5	31.5	14.5	-6.15
36551_at	29.85	33.3	18.15	37.25	-4.5	-3.75	-1.15	0.5
36552_at	36.85	82.5	61.65	97.65	41.85	46.75	14.5	3.15
36553_at	256.25	496.75	125.4	171.65	106.35	317.35	389.5	469.5
36554_at	431.5	592.15	280.85	249.05	325.75	771.3	431.25	803.65
36555_at	1990.5	2988.9	-7.75	77.75	-65.35	-92.4	24.9	5
36556_at	48.25	101.7	32.15	55.8	16.25	6.1	11.35	7.25
36557_at	963.35	2245.15	299.9	254.35	3.6	-11.65	-40	90.25
36558_at	91.75	190.5	54.9	60.9	102.5	125.6	12	190.25
36559_g_at	73.4	109.75	41.25	43.9	-11.9	12.35	15.5	36.5
36560_at	18.5	6.25	5.5	6.35	86	388.45	-7.6	-69.5
36561_at	142	210.75	54	87.65	176.65	515.75	175.35	253.4
36562_at	514.25	788.75	359.95	461.5	138.3	405.85	119.5	249.15
36563_at	101.4	42.5	236.5	360.25	-23.5	-25.5	-24.25	-5
36564_at	213.6	267.5	229.35	244	48	63.4	-23.5	33.6
36565_at	30.65	64.4	-8.75	-3.75	-29.25	-19.9	-20.95	-84
36566_at	38.25	111.65	41.5	42.6	97.8	174.25	97.65	154
36567_at	2339.75	6789.25	629.25	716.75	3.9	3.4	2.75	-2.1
36568_at	3076.5	6148	475.7	580.25	-95.25	-10.4	-38.9	-5.1
36569_at	353.85	531.35	283.25	391.35	281.75	629.05	594.4	1051.35
36570_at	49	41.7	48.15	60.15	18.65	15.1	11.3	-1.75
36571_at	347.75	245.65	1109.75	1701.5	80.65	195.35	38.65	32.85
36572_r_at	478.65	456	667.25	971.6	443	1812.85	85.8	180.6
36573_at	63.85	69.15	124.75	81.85	65.5	121.35	39.6	88.5
36574_at	568.5	989.45	251.6	444.9	128.1	279	274.85	449.75
36575_at	18.5	14.5	60.5	61.75	35.4	54.75	-2.25	4.6
36576_at	392.15	663.15	596.5	619.75	539.4	1287.95	128.9	258.5
36577_at	229.95	204.35	461.35	563	100.65	383	81	88.1
36578_at	52.5	56.25	277.25	422.1	-0.35	40	-16.75	-37.9
36579_at	215	269.85	332.9	339.9	96.25	366.4	46.9	54
36580_at	121.6	172.75	123.4	179.15	128.1	262.5	27	32.25
36581_at	379.65	513.75	539.6	583.75	424.6	958.5	65.75	136.65
36582_g_at	253.5	299.35	253.75	313.1	200.65	632.35	24.35	58.4
36583_at	76.35	111.25	30	50	99.75	353.75	55.75	128
36584_at	-4.4	3.75	14.4	21.6	1627.4	3925.4	1129.25	1956.7
36585_at	625.55	938.35	744.1	1272.25	780.9	1984	780.65	1164.25
36586_at	139.4	274.5	166.9	113.9	7	181.15	54	45.35
36587_at	2577.6	4404.05	5105.5	7221.6	3468.9	7408.1	2499.45	3308.75
36588_at	98.85	167.25	193.2	284.5	47.15	188.75	36.85	36.15
36589_at	869.25	1538.35	575	662.1	206.6	401.35	62.1	199.65
36590_at	-11.5	-17.25	9.75	-18.4	12.65	-13.75	20.75	8
36591_at	3491.9	6492.65	85.4	37.75	248.35	461.1	243.25	277.5
36592_at	170.95	344.65	90	85.95	345.5	751.15	335.25	426
36593_at	53.65	47	34	54.55	43.65	117	22.4	37.1
36594_s_at	37.7	39.6	7	44	4.1	52	12.75	12.75
36595_s_at	100.35	176.35	116.55	172.65	329.85	922.25	175.75	436.6
36596_r_at	462.75	635.5	381.15	510.6	884.25	3030.1	848.75	1649.65
36597_at	93.5	117.65	127.85	201	59.5	139.9	-0.6	13.25
36598_s_at	32.85	113	3.35	59.85	23.65	48.5	5.5	14.25
36599_at	39.9	22.3	87.5	102.75	7.25	49.85	7.25	-1.8
366_s_at	-9.25	1.1	9.9	3	11.5	33.2	2.25	25
36600_at	106.5	187.15	134.35	116.75	257	515	250.7	692
36601_at	92.35	116.5	181.15	188.4	214.85	590.35	43.6	113.5
36602_at	78	153.65	31.6	73.6	88.85	244.85	101	183.35
36603_at	69.85	134.7	98.2	177.9	139.85	311.95	30.85	140.85
36604_at	191	197.65	348.75	482.05	39.25	126.35	17.25	31.35
36605_at	41	46.1	152.4	182.6	8.6	8.1	-4.25	7.75
36606_at	1857.2	2300	1529.15	1837.2	19.7	130.5	2	27.85
36607_at	18.9	32.75	56.85	41.25	63.5	125.15	78.6	74.15
36608_at	2662.75	2538.15	1355.1	1956.9	854.75	1868.15	178.15	330.5
36609_at	279.4	344.9	151.6	279.5	8.35	35.85	11.4	21
36610_at	172.75	263	599.75	903.75	27.3	62.15	0.75	7.2
36611_at	516.65	604.25	377.75	625.6	281.5	646.8	98.8	316.4
36612_at	68	169.35	93	191.25	1.6	-8.1	-3	-4.6
36613_at	86	167.1	104.55	116.75	229.1	412	193.4	323.1
36614_at	381.35	391.5	265.6	447.4	784.75	1984.7	642.5	1100.9
36615_at	393.1	544.65	203	329.4	680.2	1869	1128.5	1923.6
36616_at	932	1523.5	347	461.6	581.15	1565.4	325.85	759.15
36617_at	1015.7	1303.95	849.35	1092.15	1050.1	2690.15	1815	2806.35
36618_g_at	273.2	338.6	215.15	293.25	214.65	695.75	291.95	466
36619_r_at	14.4	14.65	-4.35	11.5	-73.75	-33.8	10	16.4
36620_at	2326	2385.75	963.25	1405.25	1315.35	3396	1691.1	3450.1
36621_at	50.25	35	18	117.9	14417	18589	16470.65	17785.15
36622_at	-29.9	-14.6	-12.1	-14.25	7215	13349.15	2966.1	5106
36623_at	-111.4	-128.75	-240	-186.95	-33.1	-157.1	96.6	118.15
36624_at	272.05	468.75	402.45	509.25	443.85	781.75	275.4	314.5
36625_at	148	259.85	112.75	164.15	483	861.2	395.75	760
36626_at	63.65	68.4	54.35	101.4	79	238.65	-0.5	6.25
36627_at	1865.35	2043	600.85	1008.75	0.7	0.25	17.5	4.4
36628_at	311.9	454.65	201.9	323.75	144.15	397.1	63.75	89.5
36629_at	400	522.5	198.4	251.25	422	1113.6	183.1	274.15
36630_at	25.7	109.1	12.4	59.75	30.25	45.9	45.5	-31.1
36631_at	190.2	165	218.5	317.1	281	893.5	74.75	203.35
36632_at	28.15	41.15	22.25	23.25	7.75	25.85	-12.5	-32.6
36633_at	229.5	288.15	261.75	366.75	102	249.5	5.35	17.15
36634_at	356	494.15	199.25	193.65	759.9	2142.5	59.35	61
36635_at	46.5	38.35	145.25	192	73	68.1	20.15	-5.35
36636_at	682.85	476.4	417.6	635.25	797	1743.5	73.85	110.35
36637_at	402.75	641.05	62.5	64.25	277.5	564.35	176	327.6
36638_at	89.4	159.25	135.75	219.9	276.35	730.9	66.85	185
36639_at	113.75	161.5	115	170.5	112.25	184.5	34.15	170.5
36640_at	43.85	8.85	8.15	41.9	56	72.5	50	147
36641_at	298.6	237.6	337.75	504.45	97.5	203.85	46.5	16.25
36642_at	47.25	18.5	110.25	48.15	53.4	28.5	1.25	90.35
36643_at	370.35	683	390	480	19.1	84.35	42.5	-0.5
36644_at	-4.85	33.5	-26.75	-34.65	-58.5	-54.5	233.9	258.4
36645_at	244.9	489.1	316.95	347.35	359.5	1106.25	403.25	770
36646_at	-2.75	-1.75	-7.1	-1.1	6903.15	11140.6	8125.6	11939
36647_at	93.75	67.75	80.5	178	49.5	185.15	2.05	-10.6
36648_at	36.15	36.25	49.5	41.9	-1.9	53	20	6.15
36649_at	32.35	61.5	76.75	139	81.6	92.55	4.05	13.75
36650_at	289.15	440.5	741	899.15	49.65	128.65	9.7	34.75
36651_at	142.25	193.4	129.4	159.5	235.7	613.75	234.5	391.3
36652_at	1240.8	1554.5	79.4	48.85	814.4	2076.9	169	288.5
36653_g_at	472.15	1031.35	71.85	138.95	329.45	928	107.25	257
36654_s_at	543.15	598.4	1233	1783.85	501.45	1248.3	67.05	123
36655_at	52	97.35	13.9	14.25	51	209.1	18.75	37.25
36656_at	-1.75	18.15	11.25	5.85	-9.25	30.85	-5.85	17.25
36657_at	26.75	60.05	-27	-28	6787.25	10472.4	9154.75	12097.35
36658_at	336.8	662.65	80.75	88.1	739.5	2220.6	708.75	1359.75
36659_at	114.25	280.85	530.5	787.6	1119.75	2857.7	149	228.4
36660_at	157	170.75	289	704.35	83.75	169.6	21.45	19.75
36661_s_at	-39.5	33.35	-87.15	-87	545.35	1200.1	3261.85	4648
36662_at	9.65	-5.25	1.75	6.25	1.1	-16.4	-7	-23.25
36663_at	174.5	220.85	252.4	205.4	239.8	335.6	88.4	299.2
36664_at	37.5	153.85	42.5	16.75	386	1030.65	289.85	303.6
36665_at	-12.75	-8.35	-32.25	-20.7	-5.25	-100.5	-23.5	-57.65
36666_at	1005.6	1653.5	507.5	586	4648.5	9584.35	5863.6	8900.65
36667_at	407	598.65	313.6	364.5	64.45	139.45	35.35	90.75
36668_at	627.9	1546.5	607.9	606.5	1821.1	4295.5	853.85	1877.75
36669_at	55.15	80.6	31.75	39.6	39.75	85.25	23.4	6.5
36670_at	328.85	619.45	464.25	466.75	231	380	82.15	275.35
36671_at	300.7	367	272.35	408.65	180.35	433.85	13.85	28.25
36672_at	288.15	543.15	23.75	140.85	407.25	749	178.5	215.6
36673_at	387.6	638.15	96.7	207.4	101.8	387	121.5	286.6
36674_at	9.9	25.25	-3	-11	14.85	59.75	17.1	26.85
36675_r_at	953.35	1917.6	576.6	1136.75	3651.1	6554.65	3599.1	5010.35
36676_at	124.9	180.15	152	286.4	300.85	847	84.9	352
36677_at	69.5	79.9	100.15	123.5	118.4	321.05	21.85	96.8
36678_at	150.1	215.25	310.25	348.2	1057.65	1896.15	426.6	882.9
36679_at	69.35	134.65	32.25	52.5	126.4	270.4	179.15	294.45
36680_at	0.7	13	21.75	41.7	-21	-16.85	-5.75	-20.65
36681_at	1570.25	2660.4	102	88.05	-4.15	48.25	0	-4.75
36682_at	31.5	14.9	39.5	113.6	63.45	45.75	21.95	48.85
36683_at	19.4	22.4	6.6	-6.25	34.4	30.65	27.2	46.15
36684_at	174	98.35	157.9	367	24.55	93.9	7.1	52.85
36685_at	163.6	86.75	157.1	225.4	46.35	129	18.1	19
36686_at	49.7	50.85	12.5	19.1	11.5	25.2	12.85	-0.9
36687_at	181.75	326.9	134.7	265.25	218.1	650.75	27.75	76.9
36688_at	72.6	52.5	123.95	217.15	113.65	389.4	146.35	255.15
36689_at	255.5	319.1	105.85	175	7	16.5	0.85	-13.85
36690_at	102.25	106.25	21	50.25	55.5	99.85	17	28.1
36691_at	12.15	69.6	34	16.25	8.6	19.75	-23	-79.25
36692_at	193.4	228.1	327.5	418.5	9.65	18.25	1.75	-4
36693_at	18.25	19.6	11	19.35	8	19	3.75	-18.25
36694_at	56.35	49.25	22.8	5.4	32.1	-1.1	8	9
36695_at	-7.4	10.75	-7.1	-2.4	8.3	-17.15	10.1	4.6
36696_at	108.85	106.6	164.95	138.65	150.85	308	36.45	196.5
36697_g_at	-40.25	-47.65	-41.9	-41.6	-57.15	-58.9	-23.5	-80.75
36698_at	4.35	32	73.35	58.25	-5.85	-13.35	17.4	43
36699_at	-6.1	54.05	16.35	75.7	-20.75	-43.5	4.65	-43.5
